timestep_idx,timestep_value,avg_global_mean,best_local_mean,gap_mean,n_units,sd_bias,n_bias,z_raw,z_profile
0,981.0,0.4424146468239615,0.5166431903839112,0.07422854355994966,5,0.04366571932851161,400,1.69992719005735,1.69992719005735
1,961.0,0.5148380523053386,0.5823160886764527,0.06747803637111405,5,0.03458818373649981,400,1.950898517400514,1.950898517400514
2,941.0,0.5714848280600189,0.63045734167099,0.0589725136109712,5,0.03636884145312844,400,1.6215120211341896,1.6215120211341896
3,921.0,0.6092069797119491,0.6572263598442077,0.048019380132258614,5,0.03284131999148605,400,1.4621635228032066,1.4621635228032066
4,901.0,0.6290387640787166,0.6701858639717102,0.04114709989299359,5,0.030191513974052887,400,1.3628697099574445,1.3628697099574445
5,881.0,0.6464217170634123,0.6831630587577819,0.03674134169436967,5,0.029453479598135768,400,1.2474363706994802,1.2474363706994802
6,861.0,0.6642721450109692,0.7126905083656311,0.048418363354661875,5,0.031014399374183953,400,1.5611575375199687,1.5611575375199687
7,841.0,0.6817953746132664,0.7119647979736328,0.030169423360366366,5,0.02577540488136791,400,1.1704733058208807,1.1704733058208807
8,821.0,0.6893535867033533,0.7230570435523986,0.03370345684904543,5,0.02628681714910138,400,1.2821429333903815,1.2821429333903815
9,801.0,0.7021304002210159,0.7351260185241699,0.03299561830315405,5,0.027056835996758316,400,1.2194928596642733,1.2194928596642733
10,781.0,0.7105626959439905,0.7429658055305481,0.032403109586557635,5,0.028608811099260736,400,1.1326269195225294,1.1326269195225294
11,761.0,0.7246674522649683,0.7535247921943664,0.028857339929398117,5,0.030796285043755395,400,0.9370396425542099,0.9370396425542099
12,741.0,0.7290993008692167,0.7602524399757385,0.031153139106521798,5,0.032111455187764266,400,0.970156566382964,0.970156566382964
13,721.0,0.7363274311219459,0.7671383380889892,0.03081090696704336,5,0.03266825613105855,400,0.9431451389212857,0.9431451389212857
14,701.0,0.7449597292352085,0.7678521037101745,0.02289237447496606,5,0.026738045118350293,400,0.8561723332292175,0.8561723332292175
15,681.0,0.7501801430795136,0.7761937975883484,0.026013654508834794,5,0.029856467707354586,400,0.8712904273812275,0.8712904273812275
16,661.0,0.7599500596311428,0.7787069916725159,0.018756932041372985,5,0.028654880571801416,400,0.6545807090130131,0.6545807090130131
17,641.0,0.7578874551638239,0.7860700964927674,0.02818264132894339,5,0.02815913169890481,400,1.0008348847645574,1.0008348847645574
18,621.0,0.7709536315902762,0.7873773694038391,0.016423737813562943,5,0.027083688643259246,400,0.6064069791191675,0.6064069791191675
19,601.0,0.7733421023818172,0.7925762414932251,0.019234139111407922,5,0.029790701148044507,400,0.6456423773251967,0.6456423773251967
20,581.0,0.7739013657395637,0.7977583408355713,0.023856975096007572,5,0.030658144952014944,400,0.7781610770432351,0.7781610770432351
21,561.0,0.7797814233701045,0.7984086275100708,0.018627204139966325,5,0.02764315418659495,400,0.6738451051652872,0.6738451051652872
22,541.0,0.7822901785901737,0.7999186873435974,0.017628508753423654,5,0.02481548929232883,400,0.7103832830277147,0.7103832830277147
23,521.0,0.7880557004309015,0.8005041360855103,0.012448435654608736,5,0.027269745411287228,400,0.4564925512453153,0.4564925512453153
24,501.0,0.787933731598877,0.8034997582435608,0.015566026644683673,5,0.02696175316797962,400,0.5773373321720872,0.5773373321720872
25,481.0,0.7927454810705553,0.8044371843338013,0.011691703263245912,5,0.02595495579847182,400,0.4504613051174719,0.4504613051174719
26,461.0,0.7928179688772266,0.806583046913147,0.013765078035920485,5,0.025365010126118578,400,0.5426797768847118,0.5426797768847118
27,441.0,0.7977859491697596,0.8081490159034729,0.010363066733713233,5,0.0217581010848333,400,0.476285439308714,0.476285439308714
28,421.0,0.797800298621771,0.8085254549980163,0.010725156376245382,5,0.023554801263648173,400,0.45532782281620776,0.45532782281620776
29,401.0,0.7994098569654555,0.8083345890045166,0.00892473203906099,5,0.02373785314631494,400,0.37597047989348037,0.37597047989348037
30,381.0,0.800899057853222,0.8090008735656739,0.008101815712451721,5,0.021248386901140427,400,0.38129085987307987,0.38129085987307987
31,361.0,0.8024901043732143,0.8108624815940857,0.008372377220871474,5,0.019637851402074517,400,0.42633876025699163,0.42633876025699163
32,341.0,0.8051832381099733,0.812104332447052,0.006921094337078837,5,0.017525855652625117,400,0.3949076424147176,0.3949076424147176
33,321.0,0.805278376003742,0.8126429557800293,0.00736457977628735,5,0.016439835099213963,400,0.44797163303903653,0.44797163303903653
34,301.0,0.8078258971779426,0.8135529160499573,0.005727018872014655,5,0.015082318041954462,400,0.379717418508469,0.379717418508469
35,281.0,0.8104180992571945,0.8147873878479004,0.0043692885907058,5,0.013605948496479725,400,0.32113076069898905,0.32113076069898905
36,261.0,0.8110183799782911,0.8162916898727417,0.0052733098944506285,5,0.012769045565052971,400,0.4129760417554554,0.4129760417554554
37,241.0,0.8130990311375941,0.8169981122016907,0.0038990810640966433,5,0.01138739235515107,400,0.3424033301472132,0.3424033301472132
38,221.0,0.8135215252813414,0.8175094962120056,0.003987970930664253,5,0.010505778869958933,400,0.379597836583804,0.379597836583804
39,201.0,0.8146944862671562,0.8182647585868835,0.0035702723197273746,5,0.009631627811384122,400,0.3706821307513029,0.3706821307513029
40,181.0,0.8163039493942164,0.8190958857536316,0.002791936359415348,5,0.008357643015885787,400,0.33405786225955997,0.33405786225955997
41,161.0,0.8159792109856803,0.8190219640731812,0.003042753087500949,5,0.007502365334229074,400,0.40557250306361087,0.40557250306361087
42,141.0,0.8167217282465243,0.8195405840873718,0.0028188558408474675,5,0.006336358105603154,400,0.44487003320642377,0.44487003320642377
43,121.0,0.818069135276199,0.8203826069831848,0.0023134717069859035,5,0.006000248102075985,400,0.3855626746809821,0.3855626746809821
44,101.0,0.8188355979977097,0.8208582043647766,0.0020226063670669035,5,0.005456551203980261,400,0.3706748624646866,0.3706748624646866
45,81.0,0.8193343926043536,0.8210885643959045,0.0017541717915510624,5,0.003995885619018739,400,0.43899449553859615,0.43899449553859615
46,61.0,0.8200513853372982,0.821775209903717,0.0017238245664187523,5,0.003211759645038729,400,0.5367227803243557,0.5367227803243557
47,41.0,0.8210064471423569,0.8221627712249756,0.001156324082618654,5,0.002267640335596058,400,0.5099239347913211,0.5099239347913211
48,21.0,0.8219456107108867,0.8224093079566955,0.0004636972458088584,5,0.0020672161833037626,400,0.22430999213047542,0.22430999213047542
49,1.0,0.8195522045373099,0.8198942065238952,0.0003420019865852275,5,0.00018719223414919816,400,1.827009481133929,1.827009481133929
